Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
0,-4.864991,1.125652,1.955313,2.88016,1.332576,0.760558,3.786242,0.829752,3.901804,-1.580185,-2.566199,-2.752756,0.16675,-4.16387,-3.447484,3.913766,-0.489144,1.872678,3.612883,-4.569891,-0.715795,0.090509,-0.232916,2.550711,-2.710524,3.825972,-3.25073,-2.263377,263.18
1,-4.562924,-1.935062,4.673945,-1.103702,-0.504659,2.579084,-3.018454,0.119871,-1.527469,-0.119458,2.010566,-1.328514,-4.578439,1.875926,4.941036,-1.256201,4.925527,-0.642174,-3.682991,2.86923,0.386836,-4.081872,-0.682847,1.5004,2.300453,-4.341281,-2.797633,4.88195,19.18
2,0.12952,-2.627159,-3.665126,-2.093783,-4.338317,-1.123942,-0.335249,-4.681618,-1.471194,-4.112446,1.939498,-2.435946,2.594619,-2.090123,-0.791311,-4.006686,3.388711,1.348512,0.062717,3.487817,-3.185874,3.554852,2.332843,-2.024418,-3.11639,1.033869,-2.917628,-4.36881,327.51
3,1.365211,-3.459182,-4.465869,-3.343378,-4.721053,4.682517,-4.029715,1.313599,-1.309056,-4.148669,0.217578,4.043798,3.146041,0.492054,-2.382186,0.384722,-4.411975,4.511973,-4.130662,-4.661392,-0.699608,3.4938,-3.147063,-2.938693,-2.878993,2.238903,2.361144,0.973817,132.58
4,0.414116,1.336206,-4.237721,-1.26854,2.815353,4.318467,0.843154,-3.410986,0.229559,-2.495828,-1.686671,-3.439013,-1.096486,4.209782,-0.646029,-2.032989,-1.633662,3.477215,-2.35653,-0.583561,-3.200607,-4.320348,-4.292213,2.992043,-0.890805,-4.071979,1.100358,-3.038734,442.97
5,-1.791325,3.562522,4.746476,-1.644904,4.687724,-1.229844,-3.855501,0.580773,3.840822,-0.136972,-0.779593,3.914505,-2.828173,-3.375523,3.762553,-2.618859,-2.748237,3.241186,2.181032,-0.777271,0.671394,1.200846,-3.776038,0.669321,0.610452,4.246908,-0.217943,2.349966,383.99
6,2.630595,-2.547353,0.751681,4.809872,-3.550652,3.783108,-1.695996,-3.968407,1.717811,-1.784498,-2.419874,2.260026,0.318732,4.645835,3.212641,-1.592775,-2.399717,0.328359,-4.302905,1.434878,2.095768,0.002406,0.444561,-1.606031,-4.775296,3.356648,-0.312115,2.054783,436.99
7,-3.667428,4.13935,-3.295164,3.125699,0.150697,3.720056,-4.83129,-4.939855,1.165082,4.509117,-0.932294,4.720503,1.364186,0.906199,-3.404164,1.783659,0.183969,2.672051,-4.161053,-1.269864,-1.641946,4.109326,-2.503784,4.877337,-4.044968,-3.328921,-2.567916,-2.230066,473.56
8,-1.257201,3.324747,-1.167639,-0.172277,-1.877983,1.503952,-4.596172,1.915126,0.669913,-3.512169,-4.532363,-0.515889,-2.281718,2.069438,3.425068,-4.523031,2.070769,3.786167,4.9152,1.339244,-3.202611,-4.26402,-1.852242,3.613254,4.866574,-1.321764,-2.026479,-3.631492,416.22
9,-2.898049,3.803806,-2.406881,3.114017,3.58734,0.785411,-2.341107,-0.667233,-4.788099,-0.829409,-4.261444,-3.608051,-1.503441,-1.617395,-1.010375,1.204411,4.136982,-3.738545,1.208847,-3.100416,-0.280025,-2.321317,-1.415359,-3.553337,-0.813946,-1.433214,-3.868383,4.092726,471.34
10,2.622785,4.987311,0.634562,-0.795963,0.114847,-0.805162,3.720944,-1.812008,-2.282532,0.431574,0.620307,0.026312,1.329472,0.519421,-2.103976,-3.523339,-1.276419,1.165955,1.529998,-2.027902,3.140274,-2.85339,1.218888,3.915314,-0.310034,3.998527,-3.482245,0.081885,111.06
11,1.155383,-0.106921,2.732626,4.494261,-0.788327,2.86779,3.03244,0.386163,1.215486,2.012057,-4.454127,4.75541,-3.524919,-1.812439,-3.831239,-1.570779,-4.895714,-3.799166,4.832068,-4.187722,-0.734898,4.102553,2.392704,0.006703,0.205592,2.964078,-2.621561,-2.315214,148.69
12,-4.512173,-4.870236,-4.700519,-3.464778,2.691328,-3.404577,-0.22357,4.866856,4.241974,-4.737377,0.299556,-1.997596,3.953961,3.595004,-2.8665,-1.422476,-0.50184,1.038734,4.361399,0.946794,-4.452276,4.630134,-1.736965,-2.977744,-3.579934,-4.789363,4.888648,-3.269307,97.61
13,-1.742349,4.093637,-2.058182,4.246582,2.25927,-4.79383,-4.083007,3.016252,0.025463,0.831014,2.609763,0.512393,2.123651,0.200067,0.37192,-3.844887,-3.117506,0.680115,1.588457,-2.75612,-1.972521,3.769171,-1.443421,4.293816,1.495299,-0.813294,-1.517768,-1.201117,50.56
14,-0.835136,4.239041,-2.461315,-4.713833,-4.793915,0.658012,-3.390341,4.932496,-3.355379,0.623715,-2.262735,-0.795659,2.08365,1.470906,-4.652821,1.903847,1.576205,-0.047208,2.094393,3.902251,-3.549632,1.415418,3.533509,-2.39264,3.667301,4.222821,-2.284759,4.906842,38.12
15,0.966852,-4.69622,4.105702,4.352937,-0.175708,-2.893483,-4.580165,0.17514,4.481936,-4.596736,-4.410361,3.409643,4.555431,-2.124316,4.408912,2.463822,2.910339,3.769997,-3.531732,-3.998286,0.694167,2.853116,-3.850453,3.433028,-3.069004,-3.579818,1.298266,2.950194,325.73
16,-3.524386,3.44091,3.451681,0.62818,1.632507,2.100414,0.636055,3.090633,2.791791,2.720489,-1.359811,-2.465397,2.363854,0.925771,-2.737747,-0.513324,2.58929,-1.369441,-4.021466,1.559793,-2.352514,1.857493,3.934141,3.160003,1.233842,-1.113799,4.876112,0.229836,490.28
17,-4.095944,-1.268065,3.290666,3.043975,2.376513,0.099662,2.327017,-1.93224,-3.174518,1.205793,3.099568,-1.646037,-1.712809,-3.996396,-2.10313,3.436884,3.501086,2.934813,-2.553592,-3.792169,-0.53962,1.664342,1.868318,0.414344,-0.67606,-4.879088,-1.540992,2.445042,312.35
18,-0.761885,0.751827,-1.622574,2.604994,-0.658745,1.060192,0.435044,1.883824,-2.842037,2.614112,-1.964159,-1.722903,0.745494,2.856683,-1.296296,0.906185,-1.13927,2.44617,-1.95225,2.787941,4.268223,-2.327755,-1.112219,-3.138845,-4.037108,-0.219702,-4.286824,0.015932,292.19
19,0.313041,-1.452856,-1.189287,-0.367687,2.705049,1.16192,-2.087166,3.707807,-0.843096,3.017088,2.142793,-4.231548,-1.738426,-1.921632,0.294795,1.125136,0.122409,-2.033245,-4.915337,1.813596,4.591989,4.614501,-3.191916,-0.235922,-4.630692,-2.732204,-2.504644,1.022878,153.99
20,-1.203131,-1.967652,4.991598,0.062154,0.510008,-0.545741,-0.716439,-1.077999,3.775282,3.092044,4.726647,4.686988,0.954133,1.839817,-2.206424,2.404949,2.080627,-3.36419,2.372109,-2.828965,-0.964491,2.334399,1.530584,-4.158319,0.924412,1.864517,-2.44136,-3.839964,498.12
21,3.863663,-0.679723,2.902847,1.201267,0.309961,3.546953,3.901365,-3.214039,3.119267,-2.088339,-0.374805,1.396398,-1.097642,-3.676942,-1.600939,3.278904,3.029965,1.183052,-0.354639,3.136598,2.214724,3.820949,3.406908,2.973848,1.928329,-1.049395,2.441799,-1.390821,345.57
22,-1.401599,0.45512,-3.640276,1.117974,-4.358672,0.065824,-0.893473,1.397558,0.463623,4.245861,3.725149,3.334404,0.291259,-3.304934,4.556772,4.675068,-3.271645,3.536043,-3.375022,4.966167,-1.774018,-0.234458,1.595765,-2.581973,-0.303092,0.991011,2.908252,-3.422889,14.45
23,0.191137,0.179437,2.183726,1.931086,-2.948889,4.984924,0.841471,-4.797559,3.7831,-4.101295,-3.713509,-4.649109,-1.18176,3.226376,-0.18361,-0.16978,4.837567,2.15241,-4.265548,-4.967701,3.790284,-3.019206,2.753257,-3.278808,1.24158,2.775139,1.672549,-4.093137,287.4
24,4.73971,2.765343,3.371652,-3.591235,-1.935427,1.50225,1.175686,1.476392,-4.677132,-0.684709,4.987556,-3.958851,-0.497649,4.095773,-1.227116,4.598773,0.097125,-4.104918,-4.704803,-4.826486,-0.686499,-1.060975,-1.08692,4.441099,-4.128844,-3.36437,1.308459,1.139841,167.84
25,2.499302,-1.698642,-4.130108,-2.8362,-4.567505,0.532889,2.851834,2.8418,2.360528,0.640336,3.695952,-1.091359,-4.111405,4.379191,-1.010889,3.664142,0.924039,-1.533654,-3.650325,-4.820505,2.457074,2.450699,3.715533,2.26868,4.773104,1.485354,4.507407,-3.267026,454.06
26,3.462285,2.965849,2.602127,1.857086,2.558391,-3.625488,1.407995,0.297433,-3.993475,0.726312,4.554856,4.189646,4.594332,2.013351,-3.929215,-3.982272,-0.761088,1.189219,-0.38455,-1.71654,2.974455,-3.069876,1.744908,-2.890245,0.246465,-3.494325,2.172282,-0.846249,37.15
27,4.612135,-3.062691,-1.527397,1.406968,-3.579528,0.179195,-4.493858,4.505111,-4.046148,-0.841648,-1.19057,3.63774,1.45011,-3.146332,0.120265,-1.090608,-2.816135,-4.231283,2.122106,0.808303,-0.024377,2.084939,-1.092411,3.559883,-3.221263,-4.848315,1.754723,-4.081637,236.86
